	crt_76[K]	crt_72-76[CVMNK]	dhfr_51[N]	dhfr_59[C]	dhfr_108[S]	dhfr_164[I]	dhps_437[G]	dhps_540[K]	dhps_581[A]	dhps_613[A]	kelch13_349-726_ns_changes	mdr1_dup_call	mdr1_breakpoint	pm2_dup_call	pm2_breakpoint
PM0034-C	T	CVIET	N	C	S	I	A,G	K	A	A		-1		0	
PM0036-C	T	CVIET	N,I	R	N	I	G	K	A	A		-1		0	
PM0037-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0038-C	T	CVIET	I,N	R	N	I	G,A	K	A	S,A		0		0	
PM0039-C	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	A	K	A	A		0		0	
PM0040-C	T	CVIET	-	R	N	I	A	K	A	S,A		0		0	
PM0042-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0047-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0048-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0049-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0051-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0054-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	A	K	A	A		0		0	
PM0058-C	T,K	CVIET,CVMNK	N	C	S	I	A,G	K	A	A		0		0	
PM0060-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0062-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0063-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0064-C	T	CVIET	I,N	R,C	N,S	I	G	K	A	A		0		0	
PM0068-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0071-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0072-C	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	S,A		0		0	
PM0073-C	K,T	CVMNK,CVIET	I	R	N	I	G,A	K	A	A		0		0	
PM0074-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0075-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0076-C	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0077-C	T	CVIET	N,I	C,R	S	I	G,A	K	A	A		0		0	
PM0078-C	K,T	CVMNK,CVIET	N	C	S,N	I	G	K,E	A	A		0		0	
PM0083-C	T	CVIET	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PM0084-C	K	CVMNK	N	C	S	I	A	K	A	A	a578s	0		0	
PM0085-C	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0086-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0087-C	K	CVMNK	N	C	S	I	A	K	A	S,A		0		0	
PM0089-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	G,A	K	A	A		0		0	
PM0090-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0093-C	T,K	CVIET,CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0094-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	G,A	K	A	A,S		0		0	
PM0096-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0097-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0098-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0100-C	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	A	K	A	A		0		0	
PM0103-C	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PM0113-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0114-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0115-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0117-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0123-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0124-C	T,K	CVMNK,CVIET	I	R	N	I	A	K	A	A		0		0	
PM0127-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0129-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0132-C	K	CVMNK	N	C	S	I	A	K	A	A		0	PfMDR1_dup_19	0	
PM0133-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0134-C	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0136-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0138-C	T	CVIET	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0139-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PM0142-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0144-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	G,A	K	A	A		0		0	
PM0145-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0146-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0147-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0151-C	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PM0152-C	K	CVMNK	N	C	S	I	A,G	K	A	A		0		0	
PM0153-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0156-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0157-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0159-C	K,T	CVMNK,CVIET	N	C	S	I	A	K	A	A,S		0		0	
PM0160-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0161-C	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	G,A	K	A	A,S		0		0	
PM0182-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0183-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0184-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G,A	K	A	A,S		0		0	
PM0185-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0186-C	T,K	CVIET,CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0187-C	K	CVMNK	N,I	C,R	S,N	I	G,A	K	A	A		0		0	
PM0188-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0190-C	K	CVMNK	I	R	N	I	G	K	A	S		0		0	
PM0191-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0192-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0193-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PM0194-C	K	CVMNK	I,N	R,C	N	I	G	K,E	A	S,A		0		0	
PM0195-C	K,T	CVMNK,CVIET	N,I	C,R	S	I	A	K	A	A		0		0	
PM0196-C	T,K	CVIET,CVMNK	I	R	N	I	G,A	K	A	A		0		0	
PM0197-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0198-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0199-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0200-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0201-C	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0202-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0203-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0204-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0205-C	K,T	CVMNK,CVIET	I	R	N	I	A,G	K	A	A,S		0		0	
PM0206-C	K	CVMNK	N	C	S	I	G,A	K	A	A		0		0	
PM0207-C	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
PM0208-C	K	CVMNK	N,I	C,R	S,N	I	A	K	A	A		0		0	
PM0209-C	T	CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0211-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PM0212-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0213-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0214-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0215-C	T	CVIET	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0216-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0217-C	T	CVIET	N	C	S	I	G,A	K	A	A		0		0	
PM0218-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0219-C	K,T	CVMNK,CVIET	I	R	N	I	A	K	A	A		0		0	
PM0220-C	K	CVMNK	I	R	N	I	G	K	A	A	A578S	0		0	
PM0221-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0222-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0223-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0224-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0227-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0228-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0229-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G	K	A	A		0		0	
PM0230-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0231-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0232-C	T,K	CVIET,CVMNK	I,N	R	N	I	A	K	A	A		0		0	
PM0233-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0234-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0235-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0236-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0237-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PM0238-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0240-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0241-C	K	CVMNK	I	R	N	I	G,A	K	A	A		0		0	
PM0242-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0243-C	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0244-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0246-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0247-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0248-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0249-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0250-C	K	CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_27	0	
PM0251-C	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PM0252-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
PM0253-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0254-C	K	CVMNK	I,N	R,C	N	I	A	K	A	A		0		0	
PM0255-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0256-C	K	CVMNK	I,N	R	N	I	A	K	A	A		0		0	
PM0257-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0258-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0259-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0260-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0261-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0262-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0263-C	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	A	K	A	A		0		0	
PM0264-C	K	CVMNK	N	C	S	I	G,A	K	A	A		0		0	
PM0265-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0266-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0267-C	T	CVIET	I	R	N	I	A	K	A	A	G665S	0		0	
PM0268-C	K	CVMNK	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PM0269-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0270-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0271-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PM0272-C	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0273-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	S,A		0	PfMDR1_dup_15	0	
PM0274-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0275-C	T,K	CVIET,CVMNK	N,I	C,R	N,S	I	G,A	K	A	A		0		0	
PM0276-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0277-C	K	CVMNK	N	R	N	I	G	K	A	A		0		0	
PM0278-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0279-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0280-C	K	CVMNK	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0281-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0282-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0283-C	K	CVMNK	I,N	R,C	N	I	A,G	K	A	A		0		0	
PM0290-C	K,T	CVMNK,CVIET	I	R	N	I	A,G	K	A	A		0		0	
PM0291-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0293-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0295-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0296-C	T	CVIET	I,N	R,C	N,S	I	G,A	K	A	A,S		0		0	
PM0297-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0299-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0300-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0301-C	K	CVMNK	I,N	R	N	I	A	K	A	S		0		0	
PM0302-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0303-C	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0305-C	K	CVMNK	I	R	N,S	I	A	K	A	A		0		0	
PM0306-C	K	CVMNK	N	C	S	I	G,A	K	A	A		0		0	
PM0307-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0308-C	T	CVIET	I,N	R,C	N	I	G	K	A	A		0		0	
PM0309-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0310-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0311-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0312-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
PM0313-C	K,T	CVMNK,CVIET	I	R	N	I	A	K	A	A		0		0	
PM0314-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PM0315-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0316-C	T	CVIET	I	R	N	I	G	K	A	S,A		0		0	
PM0317-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0318-C	T	CVIET	N	C	S	I	G	K	A	A	A578S	0		0	
PM0319-C	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PM0320-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0321-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0322-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0323-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0324-C	T	CVIET	N	C	S	I	A	K	A	S		0		0	
PM0325-C	T	CVIET	I	R	N	I	A	K	A	S		0		0	
PM0326-C	T	CVIET	N	C,R	S,N	I	G,A	K	A	A		0		0	
PM0327-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0328-C	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PM0331-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0332-C	T	CVIET	N,I	R	N	I	A	K	A	A		0		0	
PM0333-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0334-C	T	CVIET	N,I	C,R	S,N	I	G	K	A	A,S		0		0	
PM0335-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0336-C	T,K	CVIET,CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0338-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PM0339-C	T	CVIET	N,I	C,R	S,N	I	G	K	A	A		0		0	
PM0340-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0341-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0342-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0343-C	T	CVIET	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PM0344-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0345-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0346-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0347-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	A,G	K	A	A,S		0		0	
PM0349-C	T	CVIET	I,N	R,C	N,S	I	A,G	K	A	A		0		0	
PM0350-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0351-C	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A	m460i*	0		0	
PM0352-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0355-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0356-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0357-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0358-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0359-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0360-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	G,A	K,E	A	A		0		0	
PM0361-C	T	CVIET	N,I	C,R	S,N	I	A	K	A	A		0		0	
PM0363-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0364-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0365-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0366-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A,S		0		0	
PM0367-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0368-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0369-C	T	CVIET	N,I	C,R	S,N	I	A,G	K	A	A		0		0	
PM0370-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0372-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0374-C	K	CVMNK	N	C	S	I	G	K	A	S		0		0	
PM0375-C	T	CVIET	I	R	N	I	G	K	A	A	A578S	0		0	
PM0377-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0378-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0379-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0380-C	T,K	CVIET,CVMNK	I,N	R,C	N	I	A,G	K	A	A,S		0		0	
PM0381-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0382-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0383-C	T	CVIET	N,I	C	S,N	I	G	K	A	A		0		0	
PM0384-C	T	CVIET	I	R	N	I	A,G	K	A	A,S		0		0	
PM0385-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0386-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0387-C	K	CVMNK	I	R	N	I	G,A	K	A	A,S		0		0	
PM0390-C	T	CVIET	I,N	R,C	N,S	I	G	K	A	A		0		0	
PM0391-C	T,K	CVIET,CVMNK	N,I	C,R	S,N	I	G	K	A	A		0		0	
PM0392-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	A		0	PfMDR1_dup_15	0	
PM0393-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0394-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0395-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0396-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0397-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0398-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0399-C	T	CVIET	N	C	S	I	G	K	A	S,A		0		0	
PM0400-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0403-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0405-C	K,T	CVMNK,CVIET	N	C	S	I	A,G	K	A	S,A		0		0	
PM0406-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0408-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0410-C	K	CVMNK	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0411-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0412-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0413-C	T	CVIET	N,I	C,R	S,N	I	G	K	A	A		0		0	
PM0414-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0415-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0416-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0417-C	T	CVIET	N,I	R	N	I	A,G	K	A	S,A		0		0	
PM0418-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0419-C	K	CVMNK	N	C	S	I	A,G	K	A	A		0		0	
PM0420-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0421-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G,A	K	A	A,S	i354v	0		0	
PM0422-C	K	CVMNK	N	R	N	I	A	K	A	A		0		0	
PM0423-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0424-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0425-C	T	CVIET	N	C	S	I	G	K	A	S		0		0	
PM0426-C	K	CVMNK	N	R	N	I	A	K	A	A		0		0	
PM0427-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0428-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0429-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0432-C	T	CVIET	I	R	N	I	G	K	G	S		0		0	
PM0433-C	T	CVIET	I	R	N	I	G,A	K	A	A		0		0	
PM0434-C	K,T	CVMNK,CVIET	I,N	R,C	N,S	I	G,A	K	A	A		0		0	
PM0435-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0436-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0437-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0438-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0440-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0441-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0442-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0444-C	T	CVIET	I	R	N	I	A,G	K	A	A		0		0	
PM0445-C	K	CVMNK	I	R	N	I	G	K	A	A	V589I	0		0	
PM0446-C	T	CVIET	I	R	N	I	A	K	A	S		0		0	
PM0447-C	K	CVMNK	I	R	N	I	G,A	K	A	A		0		0	
PM0448-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0449-C	K	CVMNK	I,N	R,C	N,S	I	G	K	A	A		0		0	
PM0451-C	T	CVIET	I,N	R,C	N,S	I	A	K	A	A		0		0	
PM0452-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0453-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0454-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0455-C	T,K	CVIET,CVMNK	I	R	N	I	G	K	A	S		0		0	
PM0456-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0457-C	T,K	CVIET,CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0458-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0459-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0460-C	T,K	CVIET,CVMNK	I,N	R,C	N,S	I	G,A	K	A	A,S		0		0	
PM0461-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0463-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0464-C	K	CVMNK	N	C	S	I	G,A	K	A	A		0		0	
PM0466-C	K	CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0467-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0468-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0469-C	K	CVMNK	N	C	S	I	G	K	A	A		0	PfMDR1_dup_27	0	
PM0470-C	T	CVIET	N	R	N	I	G	K	A	A		0		0	
PM0471-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0472-C	T	CVIET	N	R	N	I	G	K	A	A		0		0	
PM0473-C	K	CVMNK	I,N	R,C	N	I	A,G	K	A	A		0		0	
PM0475-C	T	CVIET	N,I	C,R	S,N	I	G	K	A	A,S		0		0	
PM0476-C	K,T	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0478-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0479-Cx	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0480-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0481-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0482-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0483-C	K,T	CVMNK,CVIET	I	R	N	I	G	K	A	A		0		0	
PM0484-C	K,T	CVMNK,CVIET	N	C	S	I	A	K	A	A		0		0	
PM0485-C	T	CVIET	N	R	N	I	A	K	A	A		0		0	
PM0486-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0487-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0488-C	T	CVIET	N,I	R	N	I	G	K	A	A		0		0	
PM0489-C	T,K	CVIET,CVMNK	I	R	N	I	A,G	K	A	A		0		0	
PM0490-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0491-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0492-C	T	CVIET	I	R	N	I	G	K	A	A		0		0	
PM0493-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0494-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0495-C	K	CVMNK	N	C	S	I	G	K	A	A		0		0	
PM0496-C	T,K	CVIET,CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0497-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0498-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0499-C	K	CVMNK	N	C	S	I	A	K	A	A		0		0	
PM0500-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
PM0501-C	K	CVMNK	N	C	S	I	G,A	K	A	A		0		0	
PM0502-C	K,T	CVMNK,CVIET	N,I	C,R	S,N	I	A,G	K,E	A	A		0		0	
PM0503-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0504-C	T	CVIET	N	C	S	I	G	K	A	A		0		0	
PM0505-C	T	CVIET	I	R	N	I	A	K	A	A		0		0	
PM0506-C	T,K	CVIET,CVMNK	N,I	R	N	I	G,A	K	A	A		0		0	
PM0510-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0511-C	K	CVMNK	I	R	N	I	A	K	A	A		0		0	
PM0512-C	K	CVMNK	I	R	N	I	G	K	A	A		0		0	
PM0513-C	T	CVIET	N	C	S	I	A	K	A	A		0		0	
